"test" "R0" "TotalNumCases" "NoMoreEIs" "DayLastCase" "EpidemicPeakNew" "DayEpidemicPeakNew"
"196" "base parameters" "2.133485" "46918" "663" "661" "331" "187"
"197" "base parameters" "2.133485" "48127" "603" "600" "323" "194"
"198" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"199" "base parameters" "2.133485" "82656" "669" "667" "516" "163"
"200" "base parameters" "2.133485" "54657" "554" "552" "359" "174"
"201" "base parameters" "2.133485" "15100" "522" "521" "122" "161"
"202" "base parameters" "2.133485" "33957" "719" "713" "246" "179"
"203" "base parameters" "2.133485" "61167" "627" "625" "403" "189"
"204" "base parameters" "2.133485" "27200" "531" "530" "168" "208"
"205" "base parameters" "2.133485" "7" "35" "27" "2" "25"
"206" "base parameters" "2.133485" "914" "393" "383" "18" "167"
"207" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"208" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"209" "base parameters" "2.133485" "3559" "481" "478" "31" "177"
"210" "base parameters" "2.133485" "6767" "560" "559" "53" "210"
"211" "base parameters" "2.133485" "2" "9" "8" "1" "1"
"212" "base parameters" "2.133485" "1" "3" "1" "1" "1"
"213" "base parameters" "2.133485" "2040" "523" "517" "21" "160"
"214" "base parameters" "2.133485" "32084" "604" "602" "211" "176"
"215" "base parameters" "2.133485" "9" "98" "97" "3" "5"
"216" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"217" "base parameters" "2.133485" "1411" "450" "441" "15" "207"
"218" "base parameters" "2.133485" "35109" "633" "629" "240" "176"
"219" "base parameters" "2.133485" "12488" "624" "620" "97" "206"
"220" "base parameters" "2.133485" "36927" "592" "567" "262" "170"
"221" "base parameters" "2.133485" "32632" "589" "588" "220" "175"
"222" "base parameters" "2.133485" "720" "374" "367" "11" "189"
"223" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"224" "base parameters" "2.133485" "1929" "490" "489" "26" "150"
"225" "base parameters" "2.133485" "9" "36" "35" "1" "1"
"226" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"227" "base parameters" "2.133485" "2" "7" "5" "1" "1"
"228" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"229" "base parameters" "2.133485" "27891" "540" "539" "186" "191"
"230" "base parameters" "2.133485" "17487" "548" "545" "127" "181"
"231" "base parameters" "2.133485" "12903" "543" "541" "94" "174"
"232" "base parameters" "2.133485" "1" "1" "1" "1" "1"
"233" "base parameters" "2.133485" "10450" "548" "547" "76" "195"
"234" "base parameters" "2.133485" "12052" "499" "498" "90" "170"
"235" "base parameters" "2.133485" "10" "70" "69" "2" "29"
